GenID,Fuel,Capacity,HeatRate,EmissionRate,UnitaryCost
1,WIND,21.1101307,0,0,
2,WIND,9.04719886,0,0,
3,WIND,7.23775909,0,0,
4,WIND,17.8531391,0,0,
5,WIND,27.0209673,0,0,
6,WIND,14.3548889,0,0,
7,WIND,18.745796,0,0,
8,WIND,2.77447432,0,0,
9,WIND,77.6852809,0,0,
10,WIND,51.8706068,0,0,
11,WIND,3.90838991,0,0,
12,WIND,8.32342295,0,0,
13,WIND,23.522717,0,0,
14,WIND,24.246493,0,0,
15,WIND,25.6940448,0,0,
16,WIND,24.246493,0,0,
17,WIND,19.5419495,0,0,
18,WIND,30.3985882,0,0,
19,WIND,3.61887955,0,0,
20,WIND,4.82517273,0,0,
21,WIND,22.7748153,0,0,
22,WIND,0.82027936,0,0,
23,NUCLEAR,1069.45744,0,0,
24,NUCLEAR,833.172386,0,0,
25,NUCLEAR,726.144313,0,0,
26,NUCLEAR,1565.16208,0,0,
27,NUCLEAR,505.501823,0,0,
28,HYDRO,2.06048726,0,0,
29,HYDRO,2.36956035,0,0,
30,HYDRO,10.3024363,0,0,
31,HYDRO,4.63609634,0,0,
32,HYDRO,1.03024363,0,0,
33,HYDRO,18.5443854,0,0,
34,HYDRO,3.09073089,0,0,
35,HYDRO,2.93619435,0,0,
36,HYDRO,7.72682723,0,0,
37,HYDRO,515.121816,0,0,
38,HYDRO,6.07843742,0,0,
39,HYDRO,8.24194905,0,0,
40,HYDRO,2.83316999,0,0,
41,HYDRO,0.566634,0,0,
42,HYDRO,1.64838981,0,0,
43,HYDRO,1.54536545,0,0,
44,HYDRO,0.8241949,0,0,
45,HYDRO,0.87570709,0,0,
46,HYDRO,18.5443854,0,0,
47,HYDRO,1.69990199,0,0,
48,HYDRO,0.97873145,0,0,
49,HYDRO,5.97541306,0,0,
50,HYDRO,30.3921871,0,0,
51,HYDRO,5.40877906,0,0,
52,HYDRO,2.47258471,0,0,
53,HYDRO,6.18146179,0,0,
54,HYDRO,2.16351163,0,0,
55,HYDRO,0.61814618,0,0,
56,HYDRO,0.92721927,0,0,
57,HYDRO,2.57560908,0,0,
58,HYDRO,0.51512182,0,0,
59,HYDRO,11.3326799,0,0,
60,HYDRO,3.09073089,0,0,
61,HYDRO,2.06048726,0,0,
62,HYDRO,1.28780454,0,0,
63,HYDRO,1.54536545,0,0,
64,HYDRO,1.03024363,0,0,
65,HYDRO,2.06048726,0,0,
66,HYDRO,2.57560908,0,0,
67,HYDRO,12.3629236,0,0,
68,HYDRO,2.57560908,0,0,
69,HYDRO,1.75141417,0,0,
70,HYDRO,2.57560908,0,0,
71,HYDRO,1.69990199,0,0,
72,HYDRO,1.03024363,0,0,
73,HYDRO,0.77268272,0,0,
74,HYDRO,0.72117054,0,0,
75,HYDRO,1.03024363,0,0,
76,HYDRO,9.27219268,0,0,
77,HYDRO,5.15121816,0,0,
78,HYDRO,3.09073089,0,0,
79,HYDRO,0.72117054,0,0,
80,HYDRO,1.75141417,0,0,
81,HYDRO,4.12097452,0,0,
82,HYDRO,2.7816578,0,0,
83,HYDRO,0.51512182,0,0,
84,HYDRO,1.54536545,0,0,
85,HYDRO,6.1299496,0,0,
86,HYDRO,3.09073089,0,0,
87,HYDRO,7.72682723,0,0,
88,HYDRO,0.51512182,0,0,
89,HYDRO,22.6653599,0,0,
90,HYDRO,1.54536545,0,0,
91,HYDRO,3.09073089,0,0,
92,HYDRO,4.63609634,0,0,
93,HYDRO,2.06048726,0,0,
94,HYDRO,3.09073089,0,0,
95,HYDRO,6.38751051,0,0,
96,HYDRO,0.51512182,0,0,
97,HYDRO,1.9574629,0,0,
98,HYDRO,2.67863344,0,0,
99,HYDRO,123.629236,0,0,
100,HYDRO,4.12097452,0,0,
101,HYDRO,6.6965836,0,0,
102,HYDRO,1.69990199,0,0,
103,HYDRO,0.51512182,0,0,
104,HYDRO,3.45131616,0,0,
105,HYDRO,2.83316999,0,0,
106,HYDRO,1.54536545,0,0,
107,HYDRO,0.51512182,0,0,
108,HYDRO,1.13326799,0,0,
109,HYDRO,3.09073089,0,0,
110,HYDRO,5.15121816,0,0,
111,HYDRO,2.06048726,0,0,
112,HYDRO,6.49053488,0,0,
113,HYDRO,4.12097452,0,0,
114,HYDRO,1.54536545,0,0,
115,HYDRO,12.8780454,0,0,
116,HYDRO,5.8723887,0,0,
117,HYDRO,0.87570709,0,0,
118,HYDRO,2.57560908,0,0,
119,HYDRO,0.61814618,0,0,
120,HYDRO,1.03024363,0,0,
121,HYDRO,1.80292635,0,0,
122,HYDRO,0.92721927,0,0,
123,HYDRO,3.09073089,0,0,
124,HYDRO,1.54536545,0,0,
125,HYDRO,1.85443854,0,0,
126,HYDRO,1.64838981,0,0,
127,HYDRO,1.3908289,0,0,
128,HYDRO,0.51512182,0,0,
129,HYDRO,9.78731449,0,0,
130,HYDRO,4.22399889,0,0,
131,HYDRO,12.8780454,0,0,
132,HYDRO,1.03024363,0,0,
133,HYDRO,5.56331561,0,0,
134,HYDRO,1251.2824,0,0,
135,HYDRO,469.791096,0,0,
136,HYDRO,4.37853543,0,0,
137,HYDRO,8.24194905,0,0,
138,HYDRO,21.6351163,0,0,
139,HYDRO,1.03024363,0,0,
140,HYDRO,1.03024363,0,0,
141,HYDRO,18.6989219,0,0,
142,HYDRO,1.54536545,0,0,
143,HYDRO,8.24194905,0,0,
144,HYDRO,10.8175581,0,0,
145,HYDRO,2.06048726,0,0,
146,HYDRO,7.10868105,0,0,
147,HYDRO,28.8468217,0,0,
148,HYDRO,13.3931672,0,0,
149,HYDRO,19.8321899,0,0,
150,HYDRO,1.75141417,0,0,
151,HYDRO,0.92721927,0,0,
152,HYDRO,7.41775414,0,0,
153,HYDRO,3.09073089,0,0,
154,HYDRO,2.06048726,0,0,
155,HYDRO,3.50282835,0,0,
156,HYDRO,0.566634,0,0,
157,HYDRO,0.77268272,0,0,
158,HYDRO,2.06048726,0,0,
159,HYDRO,0.66965836,0,0,
160,HYDRO,11.2811678,0,0,
161,HYDRO,1.33931672,0,0,
162,HYDRO,1.54536545,0,0,
163,HYDRO,0.77268272,0,0,
164,HYDRO,8.44799777,0,0,
165,HYDRO,0.77268272,0,0,
166,HYDRO,1.28780454,0,0,
167,HYDRO,4.12097452,0,0,
168,HYDRO,0.87570709,0,0,
169,HYDRO,5.97541306,0,0,
170,HYDRO,1.23629236,0,0,
171,HYDRO,1.03024363,0,0,
172,HYDRO,1.49385326,0,0,
173,HYDRO,2.06048726,0,0,
174,HYDRO,4.17248671,0,0,
175,HYDRO,3.86341362,0,0,
176,HYDRO,2.26653599,0,0,
177,HYDRO,1.03024363,0,0,
178,GAS,43.7950014,2801.240212,327.434,
179,GAS,34.9475264,3214.082897,375.691,
180,GAS,1.94644451,5080.785307,593.888,
181,GAS,48.6611126,5137.152562,616.96,
182,GAS,5.57390927,5464.969749,638.795,
183,GAS,3.45051526,5574.123691,737.835,
184,GAS,3.36204051,5579.932875,652.233,
185,GAS,5.13153552,5593.583853,653.834,
186,GAS,5.66238402,5619.586651,656.853,
187,GAS,22.4725866,5650.395249,661.076,
188,GAS,4.06983851,5668.980196,662.642,
189,GAS,20.7030916,5712.482807,728.137,
190,GAS,284.888696,5787.248902,689.642,
191,GAS,4.06983851,5798.101133,677.735,
192,GAS,15.925455,5954.001119,707.352,
193,GAS,41.5831326,5957.064535,708.049,
194,GAS,960.924263,6160.053583,732.166,
195,GAS,95.3757808,6173.784806,733.72,
196,GAS,1.5925455,6841.915539,799.745,
197,GAS,308.688404,6869.626887,816.593,
198,GAS,1144.067,6963.541228,827.667,
199,GAS,1170.52095,7069.573608,840.272,
200,GAS,394.597386,7231.705405,859.541,
201,GAS,1101.51064,7246.452619,863.603,
202,GAS,578.359442,7256.658123,862.504,
203,GAS,48.9265369,7299.953555,867.608,
204,GAS,467.146681,7486.811232,891.825,
205,GAS,633.656161,7680.123627,916.311,
206,GAS,130.057883,7764.639184,926.359,
207,GAS,145.09859,8127.5963,970.445,
208,GAS,57.7740119,8411.160089,999.914,
209,GAS,108.470044,8425.770114,1001.468,
210,GAS,90.8635685,8489.956254,1009.048,
211,GAS,72.5492952,8665.156596,1029.94,
212,GAS,195.794622,8679.497333,1031.633,
213,GAS,151.468772,8807.900104,1046.896,
214,GAS,44.2373751,8915.571662,972.513,
215,GAS,63.7018202,8927.15025,1061.151,
216,GAS,78.0347297,8985.248844,1067.942,
217,GAS,80.1581237,9024.381424,1072.638,
218,GAS,55.6506179,9063.290084,1083.002,
219,GAS,1.5925455,9084.839115,1061.918,
220,GAS,59.5435069,9141.395011,1086.501,
221,GAS,85.2011845,9168.910406,1089.466,
222,GAS,212.339401,9251.650057,1099.636,
223,GAS,50.7845067,9318.441128,1107.656,
224,GAS,50.0767087,9363.084096,1112.92,
225,GAS,252.683887,9423.671085,1120.064,
226,GAS,92.102215,9763.949859,1160.508,
227,GAS,86.5283058,10024.90435,1193.248,
228,GAS,41.5831326,10035.15945,1192.786,
229,GAS,52.9963754,10063.72796,1200.304,
230,GAS,2322.46219,10141.72862,1208.137,
231,GAS,42.2024559,10153.90239,1197.912,
232,GAS,88.4747503,10388.10269,1234.685,
233,GAS,1762.41703,10545.72815,1253.808,
234,GAS,106.1697,10557.58085,1255.352,
235,GAS,107.939195,10628.2291,1265.323,
236,GAS,83.1662653,10686.76872,1270.195,
237,GAS,41.5831326,10691.13822,1270.794,
238,GAS,41.5831326,10710.06712,1272.97,
239,GAS,1383.74509,10761.41413,1300.841,
240,GAS,83.1662653,10892.68008,1294.663,
241,GAS,53.5272239,11029.06732,1330.984,
242,GAS,1098.8564,11183.04722,1421.003,
243,GAS,792.291389,11289.27868,1341.79,
244,GAS,522.001027,11413.76418,1419.667,
245,GAS,83.1662653,11571.17707,1375.289,
246,GAS,83.1662653,11572.83483,1375.483,
247,GAS,475.463308,11838.43176,1429.343,
248,GAS,1189.98539,12249.7776,1470.709,
249,GAS,607.998484,12270.13631,1460.084,
250,GAS,1677.12737,13163.35114,2108.967,
251,GAS,19.1105461,14469.30693,1691.303,
252,GAS,648.519919,14949.92018,2441.706,
253,GAS,589.330312,14986.79379,1793.972,
254,GAS,311.431121,15776.76646,1844.132,
255,GAS,299.044656,16535.06619,2678.398,
256,GAS,41.1407589,20871.72297,2505.676,
257,GAS,37.0709204,29165.235,3507.74,
258,GAS,15.1291823,31701.75439,5255.754,
259,GAS,29.9044656,56164.71059,6904.528,